duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class
0,tcp,ftp_data,SF,9311,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,1,0,0,200,87,0.44,0.01,0.44,0,0,0.01,0,0,normal
0,tcp,http,SF,250,5966,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,120,255,1,0,0.01,0.03,0,0,0,0,normal
0,tcp,finger,SF,9,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,195,8,0.04,0.02,0.01,0.25,0.01,0,0,0,normal
0,udp,private,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0.2,0.15,0,255,4,0.02,0.3,0.9,0,0,0,0.1,0,anomaly
0,tcp,http,SF,300,1075,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,241,0.95,0.01,0,0,0,0,0,0,normal
0,tcp,http,SF,227,3898,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,1,0,0.14,34,255,1,0,0.03,0.02,0,0,0,0,normal
0,tcp,netstat,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,6,1,1,0,0,0.03,0.07,0,255,6,0.02,0.08,0,0,1,1,0,0,anomaly
0,tcp,http,SF,232,2239,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,255,249,0.98,0.01,0,0,0,0,0,0,normal
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,7,0,0,1,1,0.13,0.08,0,255,7,0.03,0.06,0,0,0,0,1,1,anomaly
0,tcp,http,SF,317,4103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,18,0,0,0,0,1,0,0.11,14,255,1,0,0.07,0.02,0,0,0,0,normal
0,tcp,http,SF,371,296,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,ftp_data,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,17,1,1,0,0,0.07,0.05,0,255,5,0.02,0.07,0,0,1,1,0,0,anomaly
0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,2,1,1,0,0,0.01,0.07,0,255,13,0.05,0.07,0,0,1,1,0,0,anomaly
0,tcp,http,SF,206,310,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,1,0,0,204,255,1,0,0,0.01,0,0,0,0,normal
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,18,0,0,1,1,0.18,0.07,0,255,17,0.07,0.08,0,0,0,0,1,1,anomaly
0,tcp,http,SF,302,4070,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,1,0,0,103,255,1,0,0.01,0.05,0,0,0,0,normal
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,1,0.07,0,0.88,1,0,1,0,255,1,0,1,0,0,0.08,0,0.88,1,anomaly
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,1,0.08,0,0.87,1,0,1,0,255,1,0,1,0,0,0.08,0,0.87,1,anomaly
0,udp,private,SF,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,140,116,0.83,0.01,0.83,0,0,0,0,0,anomaly
0,tcp,http,SF,192,36186,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,http_443,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,7,1,1,0,0,0.07,0.06,0,255,3,0.01,0.07,0,0,1,1,0,0,anomaly
0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,22,1,1,0,0,0.19,0.05,0,255,22,0.09,0.06,0,0,1,1,0,0,anomaly
0,tcp,http,SF,247,756,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,1,0,0,75,255,1,0,0.01,0.01,0,0,0.19,0.07,normal
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,8,0,0,1,1,0.07,0.07,0,255,28,0.11,0.06,0,0,0,0,1,1,anomaly
0,tcp,http,SF,232,2698,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,1,0,0,255,230,0.9,0.02,0,0,0,0,0,0,normal
0,tcp,remote_job,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,11,0,0,1,1,0.04,0.06,0,255,11,0.04,0.07,0,0,0,0,1,1,anomaly
0,tcp,netbios_ns,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,16,0,0,1,1,0.11,0.06,0,255,8,0.03,0.07,0,0,0,0,1,1,anomaly
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,1,0.01,0,0.95,1,0.01,1,0,255,1,0,0.63,0,0,0,0,0.59,1,anomaly
0,tcp,http,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,12,1,1,0,0,0.32,0.08,0,255,63,0.25,0.02,0,0,1,1,0,0,anomaly
0,icmp,eco_i,SF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0,0,0,0,1,0,1,2,20,1,0,1,0.5,0,0,0,0,anomaly
0,tcp,http,SF,355,2109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,0,1,0,0.23,29,255,1,0,0.03,0.05,0,0,0,0,normal
